Model,Resampling,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
LRC,TomL,0.945194093,0.00853313,0.946767751,0.008595865,0.944409588,0.009124607,0.996891835,0.000600221,0.970690228,0.00466866
KNN,CluCen,0.891879731,0.013404932,0.900021749,0.012558453,0.891678147,0.014057818,0.994139053,0.000953471,0.941598313,0.007451323
KNN,ConNN,0.716214469,0.027432349,0.751188787,0.033446316,0.705122579,0.026642887,0.982594164,0.003002993,0.838762953,0.01714187
KNN,RUS,0.857272732,0.013815631,0.891489353,0.008870807,0.865443147,0.011887092,0.994150683,0.000479073,0.923149367,0.007613216
KNN,NCR,0.907030742,0.00860266,0.904325408,0.00855844,0.900858055,0.009351179,0.99416958,0.000460635,0.949591072,0.00462308
KNN,EdNN,0.903656915,0.015395995,0.899172623,0.012340946,0.894959374,0.016055666,0.993553615,0.000933601,0.94750876,0.008491611
KNN,AllKNN,0.90623119,0.010071895,0.903939427,0.010055693,0.900543752,0.011429252,0.994174656,0.000701577,0.949171915,0.005570135
KNN,ReEdNN,0.903656915,0.015395995,0.899172623,0.012340946,0.894959374,0.016055666,0.993553615,0.000933601,0.94750876,0.008491611
KNN,IHT,0.84616269,0.008566288,0.86833171,0.007689253,0.848394971,0.008153808,0.99221543,0.000708611,0.916272592,0.004802298
KNN,NearMiss,0.806352766,0.018591959,0.863924544,0.007052806,0.81268246,0.015840894,0.992168955,0.000497542,0.894390165,0.010521165
KNN,OSS,0.736261011,0.055699078,0.729158663,0.067125891,0.71216078,0.06452986,0.983419123,0.004265817,0.850364742,0.033783615
KNN,TomL,0.910057103,0.008560242,0.909269554,0.00841212,0.90641157,0.009505235,0.994506024,0.000564203,0.95133558,0.004714858
BNB,CluCen,0.635765865,0.019524247,0.652781099,0.017268298,0.637129025,0.020257468,0.9681337,0.002641724,0.784466158,0.01303214
BNB,ConNN,0.137591086,0.021244424,0.445206324,0.026949123,0.119534772,0.021772044,0.952338606,0.002058942,0.360851652,0.029344626
BNB,RUS,0.60833811,0.016438694,0.644334514,0.013118444,0.613947939,0.014783961,0.969807186,0.00151808,0.768029247,0.010676364
BNB,NCR,0.877514099,0.008872842,0.879507599,0.008497089,0.871406036,0.010439436,0.988990557,0.000676231,0.931575439,0.004909064
BNB,EdNN,0.848515356,0.007016855,0.854075772,0.011169382,0.836885068,0.008428944,0.983576315,0.000137935,0.913545241,0.003722472
BNB,AllKNN,0.875723631,0.008046339,0.878650199,0.006494544,0.871085716,0.009495284,0.988830487,0.000444299,0.930550993,0.004425598
