Model,Resampling,Oversampling Quantity,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
LDA,SMOTETomek,90%,0.903472429,0.001717317,0.924721885,0.002492143,0.908977024,0.001721917,0.996246889,0.000182578,0.948725949,0.000984769
LDA,SMOTETomek,100%,0.90155846,0.002906516,0.924256193,0.002571688,0.907343752,0.00242707,0.996179308,0.000119114,0.947687492,0.001539961
LDA,SMOTEENN,0%,0.91194966,0.004155951,0.917129098,0.004692305,0.912970287,0.004382425,0.995229281,0.000398082,0.952677747,0.00231967
LDA,SMOTEENN,10%,0.904019531,0.004208199,0.917072986,0.002844105,0.907157117,0.003764464,0.995402922,0.000104134,0.948608961,0.002243117
LDA,SMOTEENN,20%,0.899097763,0.001524998,0.918613085,0.003119184,0.904206607,0.001295564,0.995734114,0.000330658,0.94618266,0.000805598
LDA,SMOTEENN,30%,0.897731364,0.00518032,0.920128002,0.002790918,0.903740038,0.004889264,0.99589776,0.000197946,0.945537617,0.002762017
LDA,SMOTEENN,40%,0.897593443,0.001709258,0.919637605,0.003222516,0.903201518,0.001331919,0.995896163,0.000342983,0.945467642,0.00093194
LDA,SMOTEENN,50%,0.897593162,0.003430074,0.919751006,0.001875832,0.90356936,0.00317364,0.995900226,0.000224753,0.945468202,0.001852556
LDA,SMOTEENN,60%,0.899370706,0.00353316,0.923212359,0.0038517,0.905574577,0.003555361,0.996233096,0.000284228,0.946562083,0.001964791
LDA,SMOTEENN,70%,0.900464537,0.002698007,0.922219045,0.003914293,0.906401603,0.002855049,0.996117821,0.000305836,0.947083484,0.001555649
LDA,SMOTEENN,80%,0.900465285,0.002294049,0.92296958,0.001126936,0.906321489,0.001899528,0.996135468,0.000107271,0.947092304,0.001158024
LDA,SMOTEENN,90%,0.901558273,0.002046431,0.924029107,0.00259875,0.907504336,0.002039329,0.996220132,0.000195966,0.947707513,0.001166643
LDA,SMOTEENN,100%,0.89896059,0.002725028,0.923179001,0.001603202,0.905215854,0.002265642,0.996147595,0.000159066,0.946306188,0.001448086
LDA,SVMSMOTE,0%,0.91194966,0.004155951,0.917129098,0.004692305,0.912970287,0.004382425,0.995229281,0.000398082,0.952677747,0.00231967
LDA,SVMSMOTE,10%,0.910582606,0.003355395,0.918331071,0.003422986,0.912266493,0.002905096,0.995748754,0.000299484,0.952212524,0.001842639
LDA,SVMSMOTE,20%,0.909625855,0.003204606,0.920713278,0.003305601,0.912336325,0.002709039,0.996070458,0.000270266,0.951865855,0.001678005
LDA,SVMSMOTE,30%,0.908258334,0.004817864,0.918469853,0.005340115,0.910658585,0.004594611,0.995928921,0.000378704,0.951080847,0.002608867
LDA,SVMSMOTE,40%,0.908941861,0.001690671,0.918178791,0.000923855,0.910862997,0.001394622,0.995928312,0.000185747,0.951441049,0.000847924
LDA,SVMSMOTE,50%,0.906890906,0.002045327,0.920506552,0.001909556,0.909836389,0.001933492,0.996143111,0.000208152,0.950469362,0.001093506
